label,gt,text,group
2,2,"Update 1: Vivendi, Messier Are Fined \$1.35 Million . Vivendi Universal and its former chief Jean-Marie Messier have each been fined 1 million euros (\$1.35 million) for misleading financial information issued by the company when Messier was in charge, Messier #39;s lawyer said Tuesday.",5
2,2,"New challenges for Lukoil chief . Vagit Alekperov, the chief executive of Lukoil, is at ease talking about finding fossil fuels.  quot;I am an expert in the area of oil and gas production, quot; he said in an interview at a New York hotel,  quot;There #39;s nothing else that I know how to do.",5
2,2,"SEC Seen to OK Google IPO After 4 P.M. .  WASHINGTON (Reuters) - The U.S. Securities and Exchange  Commission is expected to declare the initial public offering  registration of Google Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.OQ target=/stocks/quickinfo/fullquote""&gt;GOOG.OQ&lt;/A&gt; effective after 4 p.m.  (2000 GMT), sources familiar with the matter said on Wednesday.",5
0,2,"Judge strikes down several FEC rules interpreting campaign finance &lt;b&gt;...&lt;/b&gt; . A judge has struck down several government rules on campaign fund raising, ordering tougher restrictions on big political money in the long term while creating uncertainty about how candidates, parties and interest groups should proceed in the current ",0
2,2,"Dollar Falls as Trade, PPI Data Weigh .  NEW YORK (Reuters) - The dollar dropped against most major  currencies on Friday, as analysts raised concerns about the  U.S. trade deficit number for July, which came in narrower than  expected, but was still fairly sizable.",6
0,0,"China #39;s Jiang Zemin gives up military post . BEIJING - China #39;s former president Jiang Zemin has retired as chairman of the powerful Central Military Commission, his last official post in government.",6
2,2,"Delta seeks deal to keep pilots . NEW YORK -- Delta Air Lines Inc. managers and pilots will meet again today, and likely negotiate through the weekend, to find a way to keep the airline staffed with pilots, as many opt for early retirement.",5
1,1,Prior in command to make early lead stand up . The Cubs continued their bid for a Wild Card spot Monday with an easy victory against the Marlins in the first game of a doubleheader which made up games washed out earlier by Hurricane Frances.,6
2,2,"US to sell \$24 billion in 2-year notes on Wednesday . CHICAGO (CBS.MW) -- US Treasurys retreated Monday, with a stabilizing oil market undercutting prices as well as speculation that higher energy costs will undermine the nation #39;s economic recovery.",6
2,2,"Comcast, Time Warner announce financial deal . Comcast Corp. and Time Warner Inc. on Monday announced an agreement on what could be the first step of giving Comcast a way to redeem its stake in Time Warner Cable Inc.",6
1,1,"Turnaround in the cards? . It will be hot, but not hostile. It will be a long trip, and there will be no shortcuts as the Patriots prepare for the Arizona Cardinals, who under Dennis Green may not win 10 games but may not lose 10, either.",6
0,3,Britons hit by music download  #39;rip-off #39; . The competition watchdog has called for an investigation into whether Apple #39;s new iTunes music download service is  quot;ripping off quot; British consumers.,4
