label,gt,text,group
3,3,"Ask Kim Komando . Q: I hear weird sounds coming from my computer - for instance, a door opening and closing. Is this normal? I use America Online. A: These sounds are coming from your AOL Buddy List, letting you know when a buddy has logged in or logged off.",6
3,3,Lawyer outed as source of forged-memo claim . It was the first public allegation that CBS News used forged memos in its report questioning President Bush #39;s National Guard service -- a highly technical ,5
1,1,"Michael Jordan Morale Boost for U.S. Ryder Cup Team .  BLOOMFIELD HILLS, Michigan (Reuters) - U.S. Ryder Cup  captain Hal Sutton enlisted the help of basketball great  Michael Jordan to boost his team's morale for this week's match  with a pep talk.",6
0,0,"Sudan says it will observe UN resolution . The Sudanese government agreed to observe the UN resolution on Darfur, avoiding threatened sanctions to their oil industry. But it says the resolution is unfair and unjust to Sudan.",6
2,2,"Judge Rules for Oracle in PeopleSoft Bid .  SAN FRANCISCO/WASHINGTON (Reuters) - A U.S. federal judge  on Thursday gave Oracle Corp. a green light to proceed with its  hostile bid to take over rival business software maker  PeopleSoft Inc., rejecting the government's bid to block the  \$7.7 billion deal.",5
3,3,Hackers to exploit latest Windows flaw . HACKERS ARE swapping information online about the latest hole in Windows in the hope of getting a good exploit onto other people #39;s computers before they install SP2.,6
3,3,"The perennial underdog is challenging Intel with a new class of &lt;b&gt;...&lt;/b&gt; . For 35 years, Advanced Micro Devices Inc. (AMD ) stood in the shadow of archrival Intel Corp. (INTC ) AMD churned out lower-priced clones of the tech leader #39;s chips and occasionally enjoyed a hit that helped boost its meager profits.",5
0,3,"No space at the station as garbage piles up . THERE #39;S no space in the space station. So a few weeks ago, the two astronauts who live there tossed out some useless junk. Only this stuff floated away in space.",3
1,1,"City official: Expos will move to DC next year . Major League Baseball has chosen Washington, DC as the new home of the Montreal Expos, a city official has told The Associated Press.",6
2,2,Stocks open higher on overnight gains in US shares . TOKYO - Stocks opened higher Wednesday on the Tokyo Stock Exchange as overnight gains in US shares prompted buybacks of recently battered Tokyo stocks.,6
0,0,"Al-Sadr Calls for End of Fighting in Iraq . BAGHDAD, Iraq - Rebel Shiite cleric Muqtada al-Sadr called on Monday for his followers across Iraq to end fighting against U.S. and Iraqi forces, an al-Sadr aide said...",6
0,0,Women Lay Claim to  #39;Miracle Children #39; . Three women sensationally turned up yesterday at the Nairobi CID headquarters and laid claim on some of Archbishop Deya #39;s  quot;miracle babies. quot; ...,6
0,0,"Train set on fire by mob . DHAKA: A mob torched a train in central Bangladesh yesterday as anger over a grenade attack which killed 19 people and narrowly missed opposition leader Sheikh Hasina Wajed erupted in violence and protests, officials said.",6
3,3,"Astronauts will try to fix space station air generator . Astronauts will attempt to repair the primary oxygen generator on the international space station, and plenty of backup oxygen sources mean Russian Gennady Padalka and American Mike Fincke are in no danger, NASA said Thursday.",5
0,2,"Stewart asks to start serving her prison sentence . Hoping to put the ordeal of the last several months behind her, business executive Martha Stewart said yesterday that she wants to begin serving her prison ",3
1,3,"Mladin Does the Double . Yoshimura Suzukis Mat Mladin swept both races of the Suzuki Superbike Showdown at Road Atlanta in Braselton, Georgia, the points tally the best he could hope for heading into the final ",0
0,2,"First Enron Criminal Case Set for Trial (Reuters) . Reuters - Nearly three years after Enron Corp.'s\ dramatic collapse into bankruptcy, the first\criminal trial against the disgraced energy company's former\employees is set to kick off on Monday.",3
1,1,"Mickelson sticks to skipping practice . There is no  quot;I quot; in team, but there are two in Phil Mickelson. While the rest of his Ryder Cup teammates took part in a practice round Wednesday ",5
1,1,"Rooney counting down to Old Trafford debut . Wayne Rooney will begin his Manchester United career, ahead of schedule, on Wednesday when he is named among the substitutes for the Champions League match against Fenerbahce ",6
1,1,"Eagles Reward Reid with Four-Year Extension .  PHILADELPHIA (Sports Network) - The Philadelphia Eagles  locked up their most successful head coach in franchise history  Wednesday, signing Andy Reid to a four-year contract extension.",5
